Drug_Name,Interactions
Dofetilide,"Bumetanide, Citalopram, Triamterene, Clarithromycin, Procainamide, Atomoxetine, Famotidine, Osimertinib, Promazine, Metoclopramide, Apomorphine, Atorvastatin, Rilpivirine, Voriconazole, Delavirdine, Lurasidone, Crizotinib, Solifenacin, Imipramine, Trazodone, Mifepristone, Verapamil, Droperidol, Vardenafil, Bedaquiline, Ofloxacin, Fosaprepitant, Cilostazol, Iloperidone, Conivaptan, Maprotiline, Indinavir, Trimipramine, Flecainide, Protriptyline, Thiothixene, Methyclothiazide, Tacrolimus, Gemifloxacin, Alprazolam, Fosphenytoin, Chlorpromazine, Granisetron, Hydroxyzine, Aripiprazole, Glycerol phenylbutyrate, Dabrafenib, Mefloquine, Itraconazole, Isoflurane, Ivabradine, Nilotinib, Arsenic trioxide, Dronedarone, Domperidone, Dasatinib, Degarelix, Lenvatinib, Zuclopenthixol, Toremifene, Propafenone, Tetrabenazine, Panobinostat, Foscarnet, Sulfamethoxazole, Amoxapine, Primaquine, Sotalol, Lapatinib, Risperidone, Lumefantrine, Chloroquine, Cisapride, Salmeterol, Etacrynic acid, Quinidine, Ticagrelor, Venlafaxine, Atazanavir, Perflutren, Telaprevir, Amlodipine, Amitriptyline, Indapamide, Indacaterol, Ziprasidone, Clozapine, Fluticasone propionate, Prochlorperazine, Gadobenic acid, Furosemide, Isavuconazonium, Olanzapine, Boceprevir, Quetiapine, Galantamine, Promethazine, Fingolimod, Vilanterol, Ranolazine, Posaconazole, Dolasetron, Terbutaline, Ciprofloxacin, Buserelin, Metformin, Histrelin, Danazol, Pimozide, Felbamate, Mirabegron, Amiloride, Dolutegravir, Ritonavir, Treprostinil, Arformoterol, Fosamprenavir, Diphenhydramine, Metolazone, Ketoconazole, Trichlormethiazide, Nelfinavir, Artemether, Propofol, Palbociclib, Desflurane, Lomitapide, Azithromycin, Imatinib, Nortriptyline, Torasemide, Telithromycin, Disopyramide, Olodaterol, Ondansetron, Fluoxetine, Cobicistat, Tizanidine, Cimetidine, Triptorelin, Moxifloxacin, Hydrochlorothiazide, Mirtazapine, Pazopanib, Methadone, Pasireotide, Isoniazid, Clomipramine, Ceritinib, Sunitinib, Idelalisib, Alfuzosin, Ivacaftor, Haloperidol, Methotrimeprazine, Chlorothiazide, Chlorthalidone, Vandetanib, Diltiazem, Flupentixol, Ibutilide, Nicardipine, Sorafenib, Isradipine, Pentamidine, Telavancin, Anagrelide, Quinine, Paroxetine, Bicalutamide, Lidocaine, Tolterodine, Lithium cation, Bosutinib, Sevoflurane, Metronidazole, Norfloxacin, Amiodarone, Clotrimazole, Ezogabine, Vorinostat, Levofloxacin, Megestrol acetate, Tamoxifen, Asenapine, Desipramine, Sulfisoxazole, Sertraline, Ibandronate, Nefazodone, Salbutamol, Thioridazine, Moexipril, Lopinavir, Amantadine, Eliglustat, Paliperidone, Doxepin, Escitalopram, Lamotrigine, Formoterol, Vemurafenib, Ticlopidine, Eribulin, Darunavir, Aprepitant, Saquinavir, Trimethoprim"
Pyrimethamine,"Methotrimeprazine, Dapsone, Artemether, Dronabinol, Bosentan, Lumefantrine, Fluphenazine, Thioridazine, Prochlorperazine, Carvedilol, Pipotiazine, Acepromazine, Promazine, Trifluoperazine, Perphenazine, Chlorpromazine"
Reserpine,"Moxonidine, Desvenlafaxine, Azelastine, Rifaximin, Sertraline, Cabergoline, Metoclopramide, Carteolol, Orphenadrine, Dextromethorphan, Lorcaserin, Nadolol, Timolol, Vilazodone, Butobarbital, Moclobemide, Clomipramine, Methotrimeprazine, Propranolol, Doxylamine, Labetalol, Tetrabenazine, Tedizolid phosphate, Butabarbital, Trazodone, Donepezil, Vortioxetine, Duloxetine, Minocycline, Zolpidem, Ergoloid mesylate, Benzphetamine, Yohimbine, Risperidone, Protriptyline, Doxorubicin, Naloxegol, Dihydroergotamine, Buspirone, Levobunolol, Levomilnacipran, Cathinone, Naratriptan, Diazoxide, Imipramine, Hydrocodone, Rotigotine, Ergometrine, Tadalafil, Rizatriptan, Isocarboxazid, Colchicine, Nortriptyline, Linezolid, Saquinavir, Galantamine, Quinagolide, Afatinib, Obinutuzumab, Rivastigmine, Carvedilol, Nabilone, Cyclobenzaprine, Milnacipran, Verapamil, Metamfetamine, Metipranolol, Paroxetine, Citalopram, Quinine, Edoxaban, Pazopanib, Bisoprolol, Trimipramine, Treprostinil, Phenelzine, Pentoxifylline, Penbutolol, Ropinirole, Nicorandil, Desipramine, Amoxapine, Fluoxetine, Frovatriptan, Methadone, Paraldehyde, Vardenafil, Sumatriptan, Ethanol, Suvorexant, Lisdexamfetamine, Thalidomide, Promethazine, Metyrosine, Everolimus, Eletriptan, Iobenguane, Secobarbital, Prucalopride, Sotalol, Doxepin, Lithium cation, Dronabinol, Ranolazine, Pentobarbital, Fentanyl, Rasagiline, Alfuzosin, Droperidol, Quinidine, Procarbazine, Escitalopram, Pindolol, Selegiline, Buprenorphine, Nebivolol, Primidone, Levodopa, Digoxin, Vincristine, Dextroamphetamine, Heptabarbital, Zolmitriptan, Hexobarbital, Hydroxyzine, Amitriptyline, Molsidomine, Methohexital, Methylphenidate, Ledipasvir, Meperidine, Amifostine, Metoprolol, Brentuximab vedotin, Rufinamide, Mirtazapine, Magnesium sulfate, Phendimetrazine, Silodosin, Topotecan, Tranylcypromine, Bosutinib, Venlafaxine, Perampanel, Tapentadol, Dabigatran etexilate, Brimonidine, Acebutolol, Almotriptan, Ergotamine, Maprotiline, Nefazodone, Atenolol, Pramipexole, Sodium oxybate"
Azithromycin,"Brentuximab vedotin, Topotecan, Ranolazine, Dabigatran etexilate, Everolimus, Terfenadine, Vincristine, Rilpivirine, Silodosin, Dicoumarol, Pazopanib, Prucalopride, Pimozide, Picosulfuric acid, Atorvastatin, Tizanidine, Nelfinavir, Afatinib, Rifaximin, Edoxaban, Verapamil, Naloxegol, Citalopram, Ivermectin, Lovastatin, Tacrolimus, Bosutinib, Doxorubicin, Colchicine, Simvastatin, Digoxin, Amiodarone, Quinine, Ivabradine, Ledipasvir, Saquinavir, Mifepristone"
Ticlopidine,"Sulodexide, Ifosfamide, Mirtazapine, Brexpiprazole, Dabrafenib, Dextromethorphan, Nortriptyline, Acetylsalicylic acid, Fesoterodine, Risperidone, Procainamide, Desipramine, Primaquine, Ethyl biscoumacetate, Fluoxetine, Mitotane, Imipramine, Nefazodone, Dicoumarol, Bosentan, Selegiline, Tocilizumab, Hydrocodone, Promazine, Fosphenytoin, Tolterodine, Aminophylline, Maprotiline, Phenytoin, Propafenone, Aripiprazole, Pantoprazole, Nimodipine, Bupropion, Deoxycholic acid, Eliglustat, Obinutuzumab, Fluphenazine, Doxorubicin, Amitriptyline, Carvedilol, Flecainide, Clopidogrel, Phenindione, Atomoxetine, Limaprost, Pipotiazine, Tetrabenazine, Amoxapine, Citric acid, Acenocoumarol, Irinotecan, Ketamine, Methadone, Efavirenz, St. John's Wort, Metamfetamine, Omega-3 fatty acids, Vortioxetine, Perphenazine, Dalteparin, Haloperidol, Dasatinib, Enoxaparin, Promethazine, Heparin, Nebivolol, Propranolol, Citalopram, Siltuximab, Lomitapide, Chlorpheniramine, Tamoxifen, Metoprolol, Chloroquine, Venlafaxine, Ibrutinib, Propofol, Phenprocoumon, Pimozide, Iloperidone, Rivaroxaban, Edetic acid, Zuclopenthixol, Mexiletine, Timolol, Doxepin, Tipranavir, Bexarotene, Clomipramine, Apixaban, Dabigatran etexilate, Theophylline, Fondaparinux, Pentoxifylline, Thioridazine, Gefitinib, Paroxetine, Tizanidine, Ridogrel, Flibanserin, Deferasirox, Treprostinil, Warfarin, Trimipramine, Cilostazol, Cyclophosphamide, Glucosamine, Pentosan polysulfate, Protriptyline, Codeine, Chlorpromazine, Captopril"
Trospium,"Itopride, Umeclidinium, Morphine, Aclidinium, Pramlintide, Potassium chloride, Mirabegron, Sulpiride, Mianserin, Procyclidine, Tiotropium, Dronabinol, Trichlormethiazide, Ethanol, Cimetropium, Ipratropium, Eluxadoline, Tacrine, Topiramate, Ramosetron, Metformin"
Adapalene,"Porfimer sodium, Verteporfin"
Midodrine,"Acetaminophen, Aminophylline, Propylhexedrine, Labetalol, Methoxamine, Nadolol, Triprolidine, Iobenguane, Tranylcypromine, Alfuzosin, Dexmethylphenidate, Selegiline, Terazosin, Ephedrine, Dopamine, Formoterol, Phendimetrazine, Trimipramine, Clomipramine, Pindolol, Oxymetazoline, Nabilone, Rasagiline, Cocaine, Tedizolid phosphate, Bromocriptine, Phenylpropanolamine, Naphazoline, Ergometrine, Diethylpropion, Dipivefrin, Theophylline, Linezolid, Doxazosin, Bepridil, Chlorphentermine, Butalbital, Dobutamine, Carteolol, Metaraminol, Atenolol, Digoxin, Doxepin, Orciprenaline, Mepivacaine, Ergotamine, Propranolol, Atomoxetine, Phentolamine, Carvedilol, Metoprolol, Desipramine, Racepinephrine, Protriptyline, Fluticasone propionate, Verapamil, Vilanterol, Dihydroergotamine, Pseudoephedrine, Articaine, Dihydrocodeine, Dyphylline, Fenoterol, Levobunolol, Amitriptyline, Methylphenidate, Prazosin, Olodaterol, Bisoprolol, Ritodrine, Benzphetamine, Phenoxybenzamine, Indacaterol, Lisdexamfetamine, Isoprenaline, Timolol, Metamfetamine, Droxidopa, Imipramine, Phenmetrazine, Ipratropium, Isometheptene, Clenbuterol, Silodosin, Arformoterol, Doxofylline, Penbutolol, Nortriptyline, Epinephrine, Pheniramine, Tamsulosin, Bendroflumethiazide, Norepinephrine, Diltiazem, Phenylephrine, Procarbazine, Phenelzine, Terbutaline, Acebutolol, Acetylsalicylic acid, Dronabinol, Benzylpenicilloyl polylysine, Amoxapine, Armodafinil, Moclobemide, Pirbuterol, Levonordefrin, Doxapram, Salbutamol, Mephentermine, Modafinil, Isocarboxazid, Salmeterol, Metipranolol, Dextroamphetamine, Sotalol, Cabergoline, Nebivolol"
Pantoprazole,"Nelfinavir, Methotrexate, Moclobemide, Dabigatran etexilate, Dextroamphetamine, Cefditoren, Ketoconazole, Armodafinil, Risedronic acid, Fosphenytoin, Fluoxetine, Lumacaftor, Posaconazole, Nicardipine, Carbamazepine, Riociguat, Mycophenolic acid, Dexmethylphenidate, Sofosbuvir, Efavirenz, Mycophenolate mofetil, Eslicarbazepine acetate, Abiraterone, Tipranavir, Stiripentol, Topotecan, Indinavir, Dabrafenib, Rifampicin, Zoledronic acid, Omeprazole, Voriconazole, Chloramphenicol, Pazopanib, Delavirdine, Tacrolimus, Lopinavir, Etravirine, Pamidronic acid, Isoniazid, Mesalazine, Erlotinib, Cysteamine, Saxagliptin, Tranylcypromine, Iron Dextran, Methylphenidate, Bosutinib, Phenytoin, Saquinavir, Gemfibrozil, Alendronic acid, Sertraline, Ritonavir, Esomeprazole, Cimetidine, Clopidogrel, Ibandronate, Nilotinib, Itraconazole, Dasatinib, Aripiprazole, Luliconazole, Ledipasvir, Rilpivirine, Clodronic acid, Gefitinib, Tiludronic acid, Modafinil, Raltegravir, Atazanavir"
Torasemide,"Phenobarbital, Framycetin, Hexobarbital, Atracurium besylate, Fosinopril, Ipratropium, Triamcinolone, Arbekacin, Acetohexamide, Insulin glulisine, Mometasone, Nicorandil, Alfuzosin, Salsalate, Ketorolac, Buprenorphine, Gliquidone, Olodaterol, Corticotropin, Bismuth subsalicylate, Fentanyl, Celecoxib, Kanamycin, Sufentanil, Digoxin, Pancuronium, Vecuronium, Codeine, Sulfisoxazole, Cisplatin, Stiripentol, Nalbuphine, Nabumetone, Probenecid, Sulpiride, Saxagliptin, Magnesium salicylate, Rifapentine, Levorphanol, Fenoterol, Tamoxifen, Ketoprofen, Floctafenine, Sulfamethoxazole, Perindopril, Meperidine, Heptabarbital, Diclofenac, Pentobarbital, Pentazocine, Fenoprofen, Lumacaftor, Moxonidine, Colesevelam, Methylprednisolone, Dexamethasone, Salbutamol, Carbamazepine, Dabrafenib, Insulin aspart, Trimethoprim, Gemfibrozil, Terbutaline, Insulin detemir, Fludrocortisone, Rocuronium, Butabarbital, Losartan, Obinutuzumab, Gliclazide, Mefenamic acid, Orciprenaline, Tadalafil, Brimonidine, Efavirenz, Ceritinib, Levodopa, Linagliptin, Amikacin, Oxycodone, Tapentadol, Quinapril, Tiaprofenic acid, Rabeprazole, Phenelzine, Fluticasone propionate, Benazepril, Foscarnet, Naproxen, Sulindac, Clopidogrel, Irbesartan, Ibuprofen, Trandolapril, Cisatracurium, Moexipril, Chlorpheniramine, Secobarbital, Amifostine, Metformin, Alogliptin, Methylphenidate, Budesonide, Rifampicin, Ivabradine, Morphine, Phenytoin, Risperidone, Methotrexate, Spectinomycin, Tolbutamide, Butobarbital, Flurbiprofen, Yohimbine, Neomycin, Cholestyramine, Warfarin, Acetylsalicylic acid, Lithium cation, Lapatinib, Formoterol, Quinine, Methadone, Remifentanil, Indacaterol, Deferasirox, Nilotinib, Vildagliptin, Arformoterol, Rosiglitazone, Colestipol, Fosphenytoin, Vilanterol, Abiraterone, Glimepiride, Salmeterol, Alfentanil, Dihydrocodeine, Allopurinol, Treprostinil, Oxymorphone, Mecamylamine, Chlorpropamide, Lisinopril, Floxuridine, Pioglitazone, Canagliflozin, Methohexital, Netilmicin, Meloxicam, Licorice, Eltrombopag, Diflunisal, Indomethacin, Glyburide, Prednisone, Cilazapril, Lopinavir, Primidone, Teriflunomide, Hydrocortisone, Piroxicam, Betamethasone, Hydromorphone, Vardenafil, Prednisolone, Cortisone acetate, Tobramycin, Felodipine, Pentoxifylline, Mifepristone, Captopril, Repaglinide, Streptomycin, Hydrocodone, Tranylcypromine, Molsidomine, Duloxetine, Ritonavir, Oxaprozin, Butorphanol, Diazoxide, Ribostamycin, Enalapril, Pirbuterol, Enalaprilat, Topiramate, Tolmetin, Gentamicin, Aminosalicylic acid, Etodolac"
Citalopram,"Promazine, Domperidone, Terbutaline, Mefloquine, Pentosan polysulfate, Mesoridazine, Maprotiline, Ibrutinib, Trimipramine, Isoflurane, Chloroquine, Paliperidone, Amiodarone, Foscarnet, Carphenazine, Gemfibrozil, Saquinavir, Risperidone, Molindone, Quinine, Eslicarbazepine acetate, Dabigatran etexilate, Apixaban, Bupropion, Citric acid, Tamoxifen, Esomeprazole, Cimetidine, Hydroxyzine, Isradipine, Ibandronate, Methotrimeprazine, Simeprevir, Sertindole, Propafenone, Chlorpromazine, Luliconazole, Fencamfamin, Arsenic trioxide, Amitriptyline, Metoclopramide, Desipramine, Nelfinavir, Pentamidine, Doxepin, Deoxycholic acid, Ondansetron, Formoterol, Fusidic acid, Degarelix, Warfarin, Rifampicin, Stiripentol, Tolterodine, Sunitinib, Palbociclib, Dextromethorphan, Thiothixene, Tedizolid phosphate, Pimozide, Anagrelide, Toremifene, Fosphenytoin, Droperidol, Mexiletine, Nortriptyline, Omeprazole, Solifenacin, Trichlormethiazide, Clomipramine, Phenytoin, Vemurafenib, Propofol, Cyproheptadine, St. John's Wort, Sevoflurane, Heparin, Ceritinib, Clarithromycin, Sertraline, Primaquine, Nilotinib, Tranylcypromine, Sulodexide, Ivacaftor, Dabrafenib, Posaconazole, Dolasetron, Fluspirilene, Fingolimod, Remoxipride, Siltuximab, Acepromazine, Arformoterol, Eliglustat, Dalteparin, Ritonavir, Loxapine, Asenapine, Tizanidine, Methylene blue, Pentoxifylline, Nicardipine, Amoxapine, Modafinil, Metronidazole, Chloramphenicol, Gadobenic acid, Idelalisib, Crizotinib, Vandetanib, Acenocoumarol, Telithromycin, Morphine, Promethazine, Moexipril, Methadone, Fluoxetine, Norfloxacin, Lenvatinib, Rilpivirine, Abiraterone, Osimertinib, Mitotane, Tipranavir, Sulfisoxazole, Granisetron, Felbamate, Atazanavir, Conivaptan, Flecainide, Aripiprazole, Panobinostat, Mirtazapine, Phenindione, Iobenguane, Dronedarone, Ethyl biscoumacetate, Ibutilide, Vilanterol, Perflutren, Efavirenz, Metyrosine, Sotalol, Buspirone, Bosutinib, Disopyramide, Trimethoprim, Quetiapine, Ioflupane I-123, Aprepitant, Haloperidol, Artemether, Isoniazid, Levofloxacin, Moxifloxacin, Chlorprothixene, Gemifloxacin, Escitalopram, Bosentan, Armodafinil, Liothyronine, Rivaroxaban, Indacaterol, Voriconazole, Itraconazole, Chlormezanone, Benzquinamide, Mirabegron, Paroxetine, Buserelin, Tacrolimus, Diphenhydramine, Ketoconazole, Carbamazepine, Salbutamol, Mifepristone, Olanzapine, Famotidine, Dicoumarol, Atomoxetine, Fluphenazine, Telavancin, Indapamide, Thioridazine, Trifluoperazine, Pasireotide, Alfuzosin, Bedaquiline, Iloperidone, Amisulpride, Dapoxetine, Eribulin, Delavirdine, Ziprasidone, Procainamide, Ciprofloxacin, Sorafenib, Obinutuzumab, Deferasirox, Apomorphine, Protriptyline, Phenelzine, Dosulepin, Ridogrel, Vorinostat, Histrelin, Zuclopenthixol, Ofloxacin, Fluticasone propionate, Phenprocoumon, Pazopanib, Imipramine, Lithium cation, Flupentixol, Clozapine, Quinidine, Linezolid, Acetylsalicylic acid, Bexarotene, Edetic acid, Galantamine, Amantadine, Lumefantrine, Glucosamine, Prochlorperazine, Lapatinib, Lopinavir, Ranolazine, Ivabradine, Salmeterol, Triptorelin, Ezogabine, Tetrabenazine, Limaprost, Omega-3 fatty acids, Dasatinib, Venlafaxine, Cisapride, Tocilizumab, Fondaparinux, Olodaterol, Desflurane, Treprostinil, Enoxaparin, Ethanol, Fosaprepitant, Trazodone, Triflupromazine, Sulfamethoxazole, Vardenafil, Netupitant, Acetophenazine, Etravirine, Sulpiride, Perphenazine"
Eletriptan,"Palbociclib, Clarithromycin, Thiothixene, Aripiprazole, Chlormezanone, Fluspirilene, Ritonavir, Cobicistat, Methotrimeprazine, Remoxipride, Benzquinamide, Dasatinib, Voriconazole, Ergoloid mesylate, Sertindole, Amisulpride, Nelfinavir, Sulpiride, Imatinib, Nefazodone, Loxapine, Acetophenazine, Risperidone, Mifepristone, Stiripentol, Verapamil, Droperidol, Posaconazole, Simeprevir, Conivaptan, Fosamprenavir, Tedizolid phosphate, Mesoridazine, Carphenazine, Fluphenazine, Idelalisib, Ergometrine, Aprepitant, Perphenazine, Granisetron, Triflupromazine, Darunavir, Telaprevir, Isavuconazonium, Nilotinib, Indinavir, Diltiazem, Ondansetron, Itraconazole, Bromocriptine, Chlorpromazine, Flupentixol, Dronedarone, Chlorprothixene, Ergotamine, Thioridazine, Atazanavir, Molindone, Ivacaftor, Metoclopramide, Ketoconazole, Olanzapine, Droxidopa, Trifluoperazine, Boceprevir, Fencamfamin, Dapoxetine, Luliconazole, Fosaprepitant, Telithromycin, Clozapine, Crizotinib, Saquinavir, Cabergoline, Acepromazine, Delavirdine, Quetiapine, Ziprasidone, Haloperidol, Paliperidone, Ceritinib, Promazine, Prochlorperazine, Pimozide, Fusidic acid, Dihydroergotamine, Zuclopenthixol"
Moxifloxacin,"Sucralfate, Ivabradine, Porfimer sodium, Didanosine, Dicoumarol, Strontium ranelate, Mifepristone, Quinapril, Mequitazine, Calcium carbonate, Sevelamer, Fludrocortisone, Magnesium oxide, Magnesium sulfate, Aluminum hydroxide, Verteporfin, Picosulfuric acid, Mycophenolic acid, Varenicline, Probenecid, Iron Dextran"
Nelfinavir,"Fosphenytoin, Lacosamide, Vinorelbine, Flutamide, Benzphetamine, Tasimelteon, Chloroquine, Mitotane, Naloxegol, Dexamethasone, Rifabutin, Sufentanil, Isavuconazonium, Doxorubicin, Hydroxyprogesterone caproate, Paricalcitol, Macitentan, Felodipine, Drospirenone, Bisoprolol, Brexpiprazole, Bedaquiline, Aprepitant, Oxybutynin, Diazepam, Etoposide, Ixabepilone, Vindesine, Maraviroc, Hydrocodone, Alprazolam, Everolimus, Norethisterone, Verapamil, Estazolam, Isosorbide, Ulipristal, Parecoxib, Vincristine, Suvorexant, Cobimetinib, Solifenacin, Silodosin, Cinacalcet, Bepridil, Canagliflozin, Palbociclib, Colchicine, Barnidipine, Hydrocortisone, Modafinil, Etravirine, Lumefantrine, Escitalopram, Ivabradine, Nizatidine, Buspirone, Haloperidol, Amlodipine, Ponatinib, Levobupivacaine, Tiagabine, Dasatinib, Ergotamine, Axitinib, Eliglustat, Dantrolene, Flibanserin, Simvastatin, Boceprevir, Lomitapide, Alosetron, Isosorbide mononitrate, Olaparib, Medroxyprogesterone acetate, Prednisone, Trastuzumab emtansine, Bosutinib, Clonazepam, Fluticasone furoate, Fentanyl, Mometasone, Buprenorphine, Dapoxetine, Phenytoin, Apixaban, Ospemifene, Lovastatin, Almotriptan, Cimetidine, Eplerenone, Bexarotene, Theophylline, Glyburide, Estradiol, Chlorotrianisene, Methadone, Amiodarone, Zolpidem, Teniposide, Erlotinib, Dapsone, Nefazodone, Eszopiclone, Stiripentol, Ranitidine, Fludrocortisone, Cabazitaxel, Lurasidone, Simeprevir, Venlafaxine, Levonorgestrel, Tamoxifen, Lansoprazole, Clorazepic acid, Ibrutinib, Vinblastine, Saquinavir, Cocaine, Lercanidipine, Mifepristone, Crizotinib, Levomilnacipran, Ergoloid mesylate, Warfarin, Dihydroergotamine, Avanafil, Acetohexamide, Abacavir, Conivaptan, Temsirolimus, Osimertinib, Ifosfamide, Pazopanib, Quinidine, Salmeterol, Atorvastatin, Bromocriptine, Valproic acid, Darunavir, Dutasteride, Alogliptin, Trabectedin, Vildagliptin, Tacrolimus, Alfentanil, Betamethasone, Methylprednisolone, Dabrafenib, Retapamulin, Spiramycin, Nateglinide, Insulin glulisine, Repaglinide, Prednisolone, Doxazosin, Paclitaxel, Tamsulosin, Disopyramide, Triamcinolone, Tolterodine, Halofantrine, Zopiclone, Toremifene, Fluticasone propionate, Pimecrolimus, Fesoterodine, Delavirdine, Glimepiride, Tizanidine, Telithromycin, Alfuzosin, Sirolimus, Enzalutamide, Clidinium, Dronabinol, Ceritinib, Ramelteon, Lidocaine, Ketamine, Telaprevir, Rosuvastatin, Romidepsin, Etizolam, Ranolazine, Digoxin, Gliquidone, Guanfacine, Tocilizumab, Zidovudine, Cyproterone acetate, Docetaxel, Iloperidone, Aripiprazole, Vemurafenib, Budesonide, Bosentan, Nisoldipine, Batimastat, Lapatinib, Dienogest, Artemether, Isoflurophate, Carbamazepine, Chlordiazepoxide, Tipranavir, Rilpivirine, Esomeprazole, Brinzolamide, Cyclophosphamide, Azelastine, Ergometrine, Vardenafil, Corticotropin, Domperidone, Tolbutamide, Pranlukast, Trazodone, Vilazodone, Sunitinib, Gefitinib, Irinotecan, Tolvaptan, Mirtazapine, Rabeprazole, Trimipramine, Nilotinib, Terfenadine, Sulfisoxazole, Etonogestrel, Tofacitinib, Ticagrelor, Atazanavir, Isosorbide dinitrate, Darifenacin, Cortisone acetate, Praziquantel, Triazolam, Quetiapine, Regorafenib, Clarithromycin, Felbamate, Siltuximab, Insulin aspart, Nevirapine, Lopinavir, Midazolam, Amitriptyline, Riociguat, Panobinostat, Saxagliptin, Insulin detemir, Oxycodone, Cisapride, Alitretinoin, Diltiazem, Rifampicin, St. John's Wort, Vorapaxar, Armodafinil, Fosaprepitant, Deferasirox, Imatinib, Flurazepam, Dronedarone, Garlic, Idelalisib, Cabozantinib, Tadalafil, Gliclazide, Itraconazole, Astemizole, Voriconazole, Quinine, Sonidegib, Nifedipine, Linagliptin, Vilanterol, Daclatasvir, Nimodipine, Omeprazole, Pipotiazine, Ivacaftor, Zonisamide, Imidafenacin, Propafenone, Ruxolitinib, Chlorpropamide, Isradipine, Cilostazol, Famotidine, Mefloquine, Sorafenib, Meperidine, Zuclopenthixol, Brentuximab vedotin, Pimozide, Ethosuximide, Prasugrel, Nicardipine, Metformin, Aminophylline"
Glimepiride,"Methotrimeprazine, Dexketoprofen, Hydrochlorothiazide, Saquinavir, Bendroflumethiazide, Voriconazole, Ranitidine, Lumacaftor, Gliquidone, Nateglinide, Verteporfin, Etacrynic acid, Lurasidone, Cimetidine, Porfimer sodium, Trichlormethiazide, Saxagliptin, Arsenic trioxide, Dabrafenib, Niacin, Diazoxide, Phenelzine, Pasireotide, Furosemide, Phenytoin, Estrone sulfate, Glyburide, Hydrocortisone, Dienogest, Brexpiprazole, Chloramphenicol, Tranylcypromine, Clozapine, Carbocisteine, Sparfloxacin, Metformin, Sirolimus, Ritonavir, Chlorthalidone, Norgestimate, Ethynodiol diacetate, Hydroxyprogesterone caproate, Rifampicin, Ethinylestradiol, Megestrol acetate, Darunavir, Mecamylamine, Insulin aspart, Miconazole, Nadolol, Dexamethasone, Methyclothiazide, Methylprednisolone, Ethanol, Asenapine, Sitagliptin, Mifepristone, Metolazone, Dicoumarol, Olanzapine, Exenatide, Stanolone, Insulin detemir, Repaglinide, Linagliptin, Metreleptin, Probenecid, Drospirenone, Colesevelam, Temsirolimus, Sulfamethoxazole, Tolazamide, Everolimus, Paroxetine, Gliclazide, Testosterone, Acetohexamide, Alogliptin, Ceritinib, Fosamprenavir, Lanreotide, Vorinostat, Lopinavir, Oxandrolone, Cyproterone acetate, Insulin degludec, Sulfisoxazole, Triamcinolone, Estradiol, Medroxyprogesterone acetate, Progesterone, Levonorgestrel, Etonogestrel, Mecasermin, Nilotinib, Chlorothiazide, Risperidone, Buserelin, Desogestrel, Betamethasone, Disopyramide, Sulfadiazine, Tacrolimus, Corticotropin, Chlorpropamide, Danazol, Quetiapine, Aripiprazole, Cortisone acetate, Sunitinib, Norethisterone, Ziprasidone, Fludrocortisone, Iloperidone, Quinine, Insulin glulisine, Triptorelin, Acetylsalicylic acid, Trimethoprim, Histrelin, Epinephrine, Indinavir, Indapamide, Fenofibrate, Secobarbital, Atazanavir, Tolbutamide, Prednisone, Pentamidine, Glipizide, Amitriptyline, Mestranol, Prednisolone, Articaine, Tipranavir, Floxuridine, Bumetanide, Paliperidone, Vildagliptin, Pipotiazine, Canagliflozin"
