drug,effect
metripranolol,bilateral granulomatous anterior uveitis
desmopressin,altered mental status
desmopressin,seizures
desmopressin,vague symptoms
desmopressin,syndrome of inappropriate antidiuretic hormone
clarithromycin,uveitis
ethambutol,uveitis
rifabutin,uveitis
acyclovir,increase serum lithium levels
acyclovir,lithium toxicity
acyclovir,increased serum lithium
lithium,increased serum lithium
acyclovir,serum lithium level had increased
lithium,serum lithium level had increased
dapsone,dapsone syndrome
dapsone,lethal
dapsone,dapsone reaction
dapsone,fatal
minoxidil,fatal interaction
lithium,ndi
lithium,cdi
lithium,central diabetes insipidus
lithium,transient central diabetes insipidus
human insulin,lipoatrophy
recombinant dna human insulin,lipoatrophy
ofloxacin,neurotoxic effects
ofloxacin,seizures
ofloxacin,renal insufficiency
phenytoin,abnormal liver function tests
phenytoin,erythroderma
phenytoin,phenytoin hypersensitivity syndrome
phenytoin,pinhead-sized facial pustules
phenytoin,tibial and facial oedema
cyclophosphamide,sarcoma
nitrofurantoin,pulmonary fibrosis
nitrofurantoin,acute pulmonary reactions
nitrofurantoin,pulmonary dysfunction
nitrofurantoin,pulmonary side effects
nitrofurantoin,respiratory failure
dapsone,an infectious mononucleosis-like syndrome
dapsone,cholestatic jaundice
dapsone,cutaneous eruptions
dapsone,minor neurological and gastrointestinal complaints
dapsone,nephrotic syndrome
dapsone,peripheral neuropathy
dapsone,psychosis
dapsone,renal papillary necrosis
dapsone,severe hypoalbuminemia without proteinuria
dapsone,toxic hepatitis
dapsone,methemoglobinemia
acetazolamide,osteomalacia
acetazolamide,severe osteomalacia
phenobarbital,severe osteomalacia
phenytoin,severe osteomalacia
methotrexate,hydrocephalus
loperamide,loperamide poisoning
lithium carbonate,creutzfeldt-jakob like syndrome
lithium,creutzfeldt-jakob syndrome
lithium,creutzfeldt-jakob disease
lithium,lithium neurotoxicity
magnesium,protracted neuromuscular block
vecuronium,protracted neuromuscular block
magnesium sulfate,neuromuscular blockade
mgso4,neuromuscular blockade
magnesium sulfate,potentiation of muscle relaxants
mgso4,potentiation of muscle relaxants
magnesium,neuromuscular block
terbinafine,hepatobiliary disorders
terbinafine,cholestatic liver disease
cetrimide,metabolic acidosis
chlorhexidine,metabolic acidosis
ecstasy,ecstasy poisoning
"3,4-methylenedioxymet-amphetamine ecstasy",poisoning
mequitazine,photosensitivity
mequitazine,erythematous macule
mequitazine,immediate erythema
mequitazine,cross-reaction to promethazine
promethazine,cross-reaction to promethazine
mequitazine,decreased med to both uva and uvb
promethazine,decreased med to both uva and uvb
mequitazine,erythema
promethazine,erythema
mequitazine,persistence of the photosensitivity
promethazine,persistence of the photosensitivity
mequitazine,photosensitivity reactions
mequitazine,photosensitivity reaction
methamphetamine,keratitis
methamphetamine,injury to the cornea
lidocaine,keratitis
quinine,keratitis
lidocaine,toxic effects
methamphetamine,toxic effects
quinine,toxic effects
methamphetamine,ulcers
methamphetamine,severe corneal ulceration
methotrexate,cirrhosis
mtx,cirrhosis
methotrexate,fibrosis
mtx,fibrosis
methotrexate,liver damage
mtx,liver damage
mtx,liver cirrhosis
mtx,liver failure
methotrexate,liver cirrhosis
cresol,high fever
insulin,high fever
cresol,increasing myalgia
insulin,increasing myalgia
cresol,lost consciousness
insulin,lost consciousness
cresol,respiratory and metabolic acidosis
insulin,respiratory and metabolic acidosis
cresol,mh
beclomethasone diproprionate,eosinophilic pneumonia reaction
fludarabine,fatal intravascular autoimmune hemolytic anemia
fludarabine,aiha
fludarabine,positivation of the dat
fludarabine,dat became positive with anti-igg and anti-c3d antiglobulins
tobramycin,tetany
tobramycin,renal toxicity
insulin,dedifferentiation of the adipocytes
insulin,hyperproduction of tnf-alpha
insulin,lipoatrophy
insulin,lipoatrophies
methotrexate,potentially toxic
methotrexate,bone marrow suppression
methotrexate,painful erosion of psoriatic plaques
methotrexate,painful erosions of their psoriasis
methotrexate,oral and gastrointestinal ulceration
cimetidine,decreased oxygen saturation and arterial po2
cimetidine,upper gastrointestinal bleeding
tolazoline,upper gastrointestinal bleeding
cimetidine,upper gastrointestinal hemorrhage
tolazoline,upper gastrointestinal hemorrhage
tolazoline,gastrointestinal bleeding
ambien,death
zolpidem,death
nitrite,nitrite toxicity
nitrate,methemoglobinemia
esmolol,esmolol toxicity
esmolol hydrochloride,asystole
esmolol,cardiac arrest
atenolol,memory impairment
atenolol,impaired memory
amiodarone,thyroiditis
isoniazid,psychotic disorder
protamine,pulmonary vasoconstriction
protamine,right ventricular failure
protamine,pulmonary hypertension
protamine,bronchoconstriction
protamine,severe hemodynamic deterioration
protamine,systemic hypotension
methicillin,acute nephritic syndrome
methicillin,massive proteinuria
methicillin,focal glomerulonephritis
methicillin,interstitial nephritis
praziquantel,large cerebral infarction
5-fu,diarrhea
5-fu,mucositis
5-fu,myelosuppression
5-fu,stomatitis
5-fluorouracil,severe adverse reactions
5-fluorouracil,lethal adverse reactions
5-fu,lethal adverse reactions
5-fu,coma
5-fu,encephalopathy
5-fu,neurologic symptoms
5-fu,severe acute 5-fu reactions
5-asa,fever
mesalamine,fever
prednisone,fever
5-asa,worsening respiratory distress
mesalamine,worsening respiratory distress
prednisone,worsening respiratory distress
mesalamine,hypersensitivity pneumonitis
prednisolone,mite infestation
colchicine,adverse effect on wound healing
colchicine,collagenase activation
colchicine,delay corneal wound healing
colchicine,delay of corneal wound healing
colchicine,corneal ulcers refractory to conventional treatment
bicalutamide,fulminant hepatic failure
minocycline,eruption
minocycline,exfoliative dermatitis
minocycline,dermatitis
minocycline,eosinophilia
minocycline,hepatitis
minocycline,lymphadenopathy
minocycline,lymphocytosis
minocycline,lymphocyte over-activation
minocycline,massive cytokine release
minocycline,severe illness
flurbiprofen,delayed hypersensitivity
cyclosporin,eye movement disorders
ganciclovir,eye movement disorders
cyclosporin,mri t2 abnormalities
cyclosporin,neurotoxicity
cyclosporin,eye movement abnormality
ganciclovir,eye movement abnormality
cyclosporin,transient brain stem or neuromuscular dysfunction
ganciclovir,transient brain stem or neuromuscular dysfunction
gnrh-a,thrombosis
clonidine,adverse response
clonidine,adverse experiences
acetohexamide,confusion
acetohexamide,head trauma
acetohexamide,systemic hypoglycemic reaction
itraconazole,drug eruption
itraconazole,primary cutaneous coccidioidomycosis
retinoic acid,potentially fatal symptom
retinoic acid,toxicity
amiodarone,polymorphous ventricular tachycardia
amiodarone,syncope
amiodarone,nonsustained polymorphous ventricular tachycardia
amiodarone,proarrhythmic
verapamil,acute asthma
verapamil,dyspnea
verapamil,asthma attack
verapamil,asthma
cephalexin,cephalexin rash
ampicillin,ampicillin rash
cephalexin,rash
ampicillin,rash
carbamazepine,pancreatitis
cbz,pancreatitis
cbz,acute pancreatitis
mtx,pneumonitis
mtx,pulmonary toxicity
inorganic arsenic,hepatic angiosarcoma
thorotrast,hepatic angiosarcoma
vinyl chloride,hepatic angiosarcoma
ferrous sulfate,reduce the gastrointestinal absorption of orally administered levothyroxine sodium
ferrous sulfate,hypothyroid
hepatitis b vaccination,mental nerve neuropathy
tamoxifen,proliferative lesions of the endometrium
tamoxifen,intermittent spotting
tamoxifen,uterine enlargement
tamoxifen,carcinoma
tamoxifen,endometrial lesions
bleomycin,metastatic nodules
cyclophosphamide,metastatic nodules
bleomycin,fibrotic lesions
cyclophosphamide,fibrotic lesions
procainamide hydrochloride,lupus syndrome
procainamide,lupus syndrome
magnesium sulfate,hypermagnesemia
magnesium,magnesium toxicosis
magnesium sulfate,magnesium toxicosis
lovastatin,rhabdomyolysis
azithromycin,rhabdomyolysis
erythromycin,rhabdomyolysis
prednisone,died
epinephrine,severe hypertension
phenylephrine,severe hypertension
tamoxifen,acute leukaemia
tamoxifen,carcinogenic
tamoxifen,acute myeloid leukaemia
tamoxifen,aml
all-trans retinoic acid,relapse in the external auditory canal of acute promyelocytic leukemia
atra,extramedullary relapse
methimazole,cutaneous reactions
propylthiouracil,cutaneous reactions
thionamide,generalized maculopapular and papular purpuric eruptions
propylthiouracil,cutaneous vasculitis
zonisamide,heat stroke
zonisamide,neurological symptoms
zonisamide,oligohidrosis
zonisamide,heat stroke-like episode
suramin,acute renal failure
suramin,renal failure
suramin,nonoliguric renal failure
clozapine,polyserositis
clozapine,pericardial effusion
clozapine,pericarditis
clozapine,pleural effusion
amphotericin b,severe side effects
ara-c,fever
cytosine arabinoside,fever
ara-c,gastrointestinal tract symptoms
cytosine arabinoside,gastrointestinal tract symptoms
ara-c,infectious complications
cytosine arabinoside,infectious complications
ara-c,severe myalgias
cytosine arabinoside,severe myalgias
rhgh,hypercalcemia
growth hormone,hypercalcemia
cisplatin,hypersensitivity reactions
cisplatin,abdominal pain
cisplatin,dyspnea
cisplatin,fever
cisplatin,general erythema
cisplatin,hypotension
cisplatin,renal tubular salt wasting
phenolphthalein,ten
phenolphthalein,toxic epidermal necrolysis
phenolphthalein,rash
clarithromycin,carbamazepine toxicity
carbamazepine,ataxia
clarithromycin,ataxia
carbamazepine,dizziness
clarithromycin,dizziness
carbamazepine,drowsiness
clarithromycin,drowsiness
carbamazepine,toxic symptoms
clarithromycin,toxic symptoms
carbamazepine,increased plasma carbamazepine
clarithromycin,increased plasma carbamazepine
acetazolamide,acetazolamide intoxication
acetazolamide,acute hemorrhagic gastritis
az,acute hemorrhagic gastritis
az,az intoxication
az,destroyed the gastric mucosal barrier
az,hemorrhagic gastritis
az,thrombocytopenia due to bone marrow disorder
magnesium ammonium phosphate,urinary calculus
magnesium,urinary calculus
danazol,thrombocytopenia
danazol,gingival bleeding
danazol,purpura
low-molecular weight heparin,skin necrosis
reserpine,reserpine toxicity
sodium bisulfite,contact dermatitis
sodium bisulfite,eruption
mesalamine,acute pancreatitis
mesalamine,pancreatitis
enalapril,acute renal failure
enalapril,severe tubulointerstitial changes
ritonavir,maculopapular eruption
ritonavir,adverse cutaneous reactions
ritonavir,fever
methicillin,nephropathy
methysergide,retroperitoneal fibrosis
alpha-interferon,vitiligo
interferon alpha 2a,vitiligo
ticlopidine,febrile agranulocytosis
ticlopidine,agranulocytosis
ticlopidine,severe bone marrow suppression
toxicity,ifosfamide
4-hydroxyifosfamide,toxicity
chloroacetaldehyde,toxicity
ifosfamide,toxicity
methyldopa,hepatitis
methyldopa,liver injury
morphine,acute respiratory depression
morphine,bradypneic
morphine,hypotensive
penicillamine,acute dystonia
penicillamine,thalamic and brainstem lesions
d-penicillamine,acute generalized dystonia
d-penicillamine,brainstem and thalamic lesions
d-penicillamine,akinetic rigid syndrome
heroin,ballistic movements
heroin,ischemic infarcts
heroin,bilateral ballism
heroin,stroke
cyclosporine,hypersensitivity reactions
cyclosporine,anaphylaxis
cremophor el,hypersensitivity reactions
cyclosporine,hypersensitivity reaction
cyclosporine,anaphylactic reaction
prothipendylhydrochloride,priapism
actinomycin d,hepatotoxicity
epirubicin,hepatotoxicity
vincristine,hepatotoxicity
bleomycin,acral necrosis
bleomycin,raynaud's phenomenon
vinblastine,gangrene
vincristine,gangrene
bleomycin,severe raynaud's phenomenon
vinblastine,severe raynaud's phenomenon
vincristine,severe raynaud's phenomenon
interferon alfa,thrombocythemia
pentostatin,thrombocythemia
interferon alfa,hematological malignancy
interferon alfa,second cancers
dexamethasone,hypertrophic obstructive cardiomyopathy
propranolol,lower average heart rate
propranolol,lower average mean blood pressure
dexamethasone,left ventricular outflow tract obstruction
dexamethasone,septal hypertrophy
clindamycin,abdominal cramping
clindamycin,multiple watery stools
clindamycin phosphate,clostridium difficile toxin-induced colitis
clindamycin,cdic
clindamycin phosphate,cdic
clindamycin,c. difficile toxin
clindamycin phosphate,c. difficile toxin
clindamycin,diarrhea
clindamycin phosphate,diarrhea
clindamycin,c. difficile toxin in stool
clindamycin phosphate,toxin-positive clostridium difficile-induced colitis
lamotrigine,ten
valproic acid,ten
lamotrigine,fatal toxic epidermal necrolysis
lamotrigine,accumulation of a toxic intermediate metabolite
valproic acid,accumulation of a toxic intermediate metabolite
lamotrigine,increased serum lamotrigine levels
valproic acid,increased serum lamotrigine levels
lamotrigine,sjs
risperidone,syndrome of increased affect
risperidone,feelings of agitation
risperidone,insomnia
risperidone,intolerable affect
risperidone,periods of crying
risperidone,increase affect
methanol,bilateral putaminal injury
methanol,methanol toxicity
methanol,severe central nervous system insult
methanol,methanol intoxication
methanol,putaminal infarct
methanol,methanol poisoning
methanol,bilateral putaminal necrosis
methanol,cerebral edema
methanol,diffuse brain involvement
methanol,fatal
methanol,ventricular compression
risperidone,dyskinetic movements
venlafaxine,increased ocular pressure
procainamide,clinical lupus syndrome
procainamide,diffuse proliferative glomerulonephritis
procainamide,lupus erythematosus
procainamide,glomerulonephritis
penicillin,acute blistering eruption
suxamethonium,apnoea
sulprostone,cardiac arrest
sulprostone,coronary spasm
desmethylsertraline,doubling of the lamotrigine blood level
lamotrigine,doubling of the lamotrigine blood level
sertraline,doubling of the lamotrigine blood level
desmethylsertraline,symptoms of toxicity
lamotrigine,symptoms of toxicity
sertraline,symptoms of toxicity
lamotrigine,lamotrigine toxicity
sertraline,lamotrigine toxicity
flutamide,decrease in prostate-specific antigen
flutamide,flutamide withdrawal syndrome
flutamide,prolonged prostate-specific antigen response
flutamide,decoupling of psa response
flutamide,psa continued to decrease
prednisone,anaphylactic reaction
hal,significant 32%-46% loss of tyrosine hydroxylase (th) immunoreactive neurons
pancrease mt 16,vomiting
viokase,vomiting
creon 10,vomiting
valproate,symptomatic methemoglobinemia
depakote,symptomatic methemoglobinemia
divalproex sodium,symptomatic methemoglobinemia
mitomycin c,hemolytic anemia
mmc,hemolytic anemia
mitomycin c,hemolytic uremic syndrome
mmc,hemolytic uremic syndrome
mitomycin c,progressive renal failure
mmc,progressive renal failure
mitomycin c,thrombocytopenia
mmc,thrombocytopenia
fludarabine phosphate,cd4 t-lymphocyte depletion
fludarabine phosphate,myelosuppression
fludarabine phosphate,severe infections
fludarabine,severe respiratory syncytial virus pulmonary infection
fludarabine phosphate,respiratory syncytial virus (rsv) infection
phenelzine,serotonin syndrome
g-csf,leucocytosis
g-csf,leukaemoid monocytosis
g-csf,monocytosis
chlorambucil,balanced translocation
chlorambucil,chromosome abnormalities
ptu,anca
propylthiouracil,antineutrophil cytoplasmic antibody-positive crescentic glomerulonephritis
propylthiouracil,antineutrophil cytoplasmic antibody
ptu,antineutrophil cytoplasmic antibody
theophylline,drug interaction
zafirlukast,drug interaction
theophylline,reaction to the drug became more toxic
theophylline,increase in the theophylline level
zafirlukast,increase in the theophylline level
accolate,theophylline levels had increased to the toxic range
theophylline,theophylline levels had increased to the toxic range
zafirlukast,theophylline levels had increased to the toxic range
theophylline,drug-drug interaction
zafirlukast,drug-drug interaction
clozapine,rhabdomyolysis
diphenhydramine,anticholinergic symptoms
diphenhydramine,drug-seeking behavior
pentasa,pancytopenia
pentasa,diarrhea
pentasa,fever
pentasa,malaise
pentasa,nausea
5-aminosalicylic acid,pancytopenia
alprazolam,changes in the plasma cortisol level
alprazolam,decreased plasma cortisol level
cyclosporine,nocardia asteroides brain abscess
prednisone,nocardia asteroides brain abscess
cisplatin,progressive sensorineural hearing loss
pentazocine,gradual stiffness
pentazocine,weakness of the lower extremities
pentazocine,fibrous myopathy
pentazocine,neuromuscular complication
pentazocine,neuropathy
pentazocine,pentazocine toxicity
olanzapine,extrapyramidal side effects
olanzapine,severe akathisia
metrifonate,seizures
tpa,vitreous hemorrhage
praziquantel,inflammation
haloperidol,nms
methimazole,aplastic anemia
methimazole,aa
adriamycin,fsgs
pranlukast,atin
pranlukast,hypersensitivity reaction
pranlukast,tubulointerstitial nephritis
pranlukast,anemia
isosorbide dinitrate,syncope
nitrate,hypotension
nitrate,unconsciousness
isosorbide dinitrate,blood pressure decreased
isosorbide dinitrate,sudden decrease in pulse rate
nitrate,syncope
voglibose,acute dizziness
voglibose,intolerable dizziness
voglibose,nausea
voglibose,vomiting
naproxen,sudden sensorineural hearing loss
naproxen,tinnitus
naproxen,transient hearing loss
naproxen,sensorineural hearing loss
niacin,dental and gingival pain
niacin,hyperalgesia of sensory nerve receptors
niacin,pain to the teeth
niacin,potentiation of inflammation in the gingiva
niacin,prostaglandin-mediated vasodilatation
niacin,intense dental and gingival pain
calcitriol,potassium loss
phosphate,potassium loss
calcitriol,secondary hyperparathyroidism
phosphate,secondary hyperparathyroidism
calcitriol,vitamin d intoxication
phosphate,vitamin d intoxication
phosphate,hypokalemia
phosphate,progressive hypokalemia
phosphate,decrease in plasma potassium
phosphate,transtubular potassium gradient (ttkg) also decreased
gold,alveolar-interstitial pneumopathy
gold,pulmonary toxicity
gold,respiratory failure
tuberculin,hypersensitivity response
halcinonide,glycosuria
halcinonide,postprandial hyperglycemia
betamethasone valerate,postprandial hyperglycemia
nefazodone,confusion
nefazodone,gray areas
nefazodone,headache
nefazodone,interfere with tacrolimus metabolism
tacrolimus,interfere with tacrolimus metabolism
nefazodone,interaction
tacrolimus,interaction
nefazodone,inhibits metabolism of tacrolimus
tacrolimus,inhibits metabolism of tacrolimus
mirtazapine,intoxication
vitamin d,acute vitamin d poisoning
vitamin d,hypercalcemia
furosemide,congestive heart failure
vitamin d,vitamin d intoxication
vitamin d,severe hypercalcemia
vitamin d,vitamin d poisoning
mtx,overwhelming hepatic necrosis
methotrexate,hepatic necrosis
mtx,hepatic injury
mtx,liver enzyme elevations
vinorelbine,hypokalemia
vinorelbine,siadh
vinorelbine,syndrome of inappropriate antidiuretic hormone
pirmenol hydrochloride,qt prolongation
pirmenol hydrochloride,t wave inversion
pirmenol,qt prolongation
pirmenol,t wave inversion
pirmenol,prolongation of the qt interval
praziquantel,myositis
praziquantel,diffuse myalgia
praziquantel,fever
praziquantel,inflammatory reaction around dying cysticerci
praziquantel,weakness of the lower limbs
alteplase,massive subfascial hematoma
alteplase,subfascial hemorrhage
alteplase,subfascial hematoma
alteplase,cutaneous ecchymosis
alteplase,diffuse subfascial hematoma
alteplase,sudden fall in hemoglobin
levomepromazine,fatal case of pancytopenia
diazepam,fatal pancytopenia
levomepromazine,fatal pancytopenia
lithium carbonate,fatal pancytopenia
amiodarone,thyrotropin receptor antibody
amiodarone,thyrotropin-binding inhibiting immunoglobulin
amiodarone,transiently positive thyrotropin (tsh) receptor antibody
amiodarone,ait
amiodarone,destructive thyroiditis
amiodarone,trab/tbii without thyroid-stimulating activity
mineral oil,lipoid pneumonia
mineral oil,elp
mineral oil,pneumonia
mineral oil,swallowing dysfunction
mineral oil,impair mucociliary transport
mineral oil,potential hazards
mineral oil,roentgenographic abnormalities
mineral oil,exogenous lipoid pneumonia
burn injury,psoralens
psoralens,phototoxic reactions
8-methoxypsoralen,intense burn
psoralen,skin extremely sensitive
psoralen,sunburn
metoclopramide,nonthrombocytopenic vascular-type palpable purpura
metoclopramide,nonthrombocytopenic palpable purpura
lithium,diabetes insipidus-like syndrome
lithium,lithium intoxication
